input_text,prefix,target_text,group
Something you find in a house is ,free-cs,carpet,Filling
Something you find in a house is ,free-cs,rooms,Filling
Something you find in a house is ,free-cs,windows,Filling
Something you find at your house is ,free-cs,a cat,Filling
Something you find at your house is ,free-cs,a computer,Filling
Something you find at your house is ,free-cs,people,Filling
a person can ,free-cs,deal drugs,Filling
a person can ,free-cs,tie a shoe,Filling
a person can ,free-cs,drink milk,Filling
Something you might do while going to work is ,free-cs,start your car,Filling
Something you might do while going to work is ,free-cs,comb your hair.,Mapping
Something you might do while going to work is ,free-cs,call on a cell phone.,Mapping
Something you find on a boat is ,free-cs,people,Mapping
Something you find on a boat is ,free-cs,life preserver.,Filling
Something you find on a boat is ,free-cs,an oar,Mapping
Something you find in the refrigerator is ,free-cs,eggs.,Filling
Something you find in the refrigerator is ,free-cs,cheese.,Filling
Something you find in the refrigerator is ,free-cs,butter.,Filling
Something you find in the oven is ,free-cs,racks,Filling
Something you find in the oven is ,free-cs,heating elements,Filling
Something you find in the oven is ,free-cs,cakes,Filling
Something you find in space is ,free-cs,a black hole,Filling
Something you find in space is ,free-cs,planets.,Filling
Something you find in space is ,free-cs,vacuum.,Filling
Something you find in a jar is ,free-cs,jelly,Filling
Something you find in a jar is ,free-cs,a cookie,Filling
Something you find in a jar is ,free-cs,jam,Filling
Something you find in a cupboard is ,free-cs,glasses,Filling
Something you find in a cupboard is ,free-cs,a bowl,Filling
Something you find in a cupboard is ,free-cs,food.,Filling
Something you find at the theater is ,free-cs,a seat,Filling
Something you find at the theater is ,free-cs,a movie,Filling
Something you find at the theater is ,free-cs,actors,Filling
Something you find at a home is ,free-cs,family,Filling
Something you find at a home is ,free-cs,my bed,Filling
Something you find at a home is ,free-cs,children,Filling
a dog can ,free-cs,not talk.,Filling
a dog can ,free-cs,fight a cat,Filling
a dog can ,free-cs,dig up bones,Filling
Something you might do while procreating is ,free-cs,have sex,Mapping
Something you might do while procreating is ,free-cs,ejaculate.,Mapping
Something you might do while procreating is ,free-cs,orgasm.,Filling
Something you might do while ,free-cs,reading is learn,Filling
Something you might do while ,free-cs,celebrating is party,Filling
Something you might do while ,free-cs,celebrating is party,Filling
Something you find on the street is ,free-cs,bicycle,Filling
Something you find on the street is ,free-cs,pedestrians,Filling
Something you find on the street is ,free-cs,cigarette butts,Filling
Something you find in the newspaper is ,free-cs,advertising.,Filling
Something you find in the newspaper is ,free-cs,headlines,Filling
Something you find in the newspaper is ,free-cs,obituaries,Filling
Something you find in the air is ,free-cs,birds.,Filling
Something you find in the air is ,free-cs,an airplane,Filling
Something you find in the air is ,free-cs,nitrogen,Filling
Something you find in a drawer is ,free-cs,a sock.,Filling
Something you find in a drawer is ,free-cs,a pencil,Filling
Something you find in a drawer is ,free-cs,pillow cases.,Filling
Something you find in a country is ,free-cs,humans,Filling
Something you find in a country is ,free-cs,a state,Mapping
Something you find in a country is ,free-cs,capital,Filling
Something you find at an opera is ,free-cs,soprano,Filling
Something you find at an opera is ,free-cs,opera singer,Filling
Something you find at an opera is ,free-cs,audience.,Filling
Something you find at a toy store is ,free-cs,toys,Filling
Something you find at a toy store is ,free-cs,action figures,Filling
Something you find at a toy store is ,free-cs,Barbie,Filling
People are ,free-cs,mammals,Filling
People are ,free-cs,human,Filling
People are ,free-cs,alive.,Filling
Something you find on the table is ,free-cs,a tablecloth.,Filling
Something you find on the table is ,free-cs,a fork,Filling
Something you find on the table is ,free-cs,silverware.,Filling
Something you find on a table is ,free-cs,a plate,Filling
Something you find on a table is ,free-cs,computer,Filling
Something you find on a table is ,free-cs,a vase.,Filling
Something you find on a desktop is ,free-cs,stapler.,Filling
Something you find on a desktop is ,free-cs,a pencil,Filling
Something you find on a desktop is ,free-cs,a coffee mug,Filling
Something you find in your mouth is ,free-cs,your teeth.,Filling
Something you find in your mouth is ,free-cs,a tongue.,Filling
Something you find in your mouth is ,free-cs,tounge,Filling
Something you find in the street is ,free-cs,traffic,Filling
Something you find in the street is ,free-cs,pavement,Filling
Something you find in the street is ,free-cs,a penny,Filling
Something you find in the space shuttle is ,free-cs,space suits,Filling
Something you find in the space shuttle is ,free-cs,computers,Filling
Something you find in the space shuttle is ,free-cs,air.,Filling
Something you find at disneyland is ,free-cs,mickey mouse.,Filling
Something you find at disneyland is ,free-cs,rides.,Filling
Something you find at disneyland is ,free-cs,cast members.,Filling
Something you find at at hotel is ,free-cs,reception.,Filling
Something you find at at hotel is ,free-cs,a towel,Filling
Something you find at at hotel is ,free-cs,a minibar,Filling
Something you find at a zoo is ,free-cs,giraffes,Filling
Something you find at a zoo is ,free-cs,lions,Filling
Something you find at a zoo is ,free-cs,tigers,Filling
Something you find at a synagogue is ,free-cs,a Torah,Filling
Something you find at a synagogue is ,free-cs,jew.,Filling
Something you find at a synagogue is ,free-cs,people,Filling
Something you find at a store is ,free-cs,clothes.,Mapping
Something you find at a store is ,free-cs,a lamp.,Filling
Something you find at a store is ,free-cs,a book,Filling
Something you find at a church is ,free-cs,pew,Filling
Something you find at a church is ,free-cs,candle,Filling
Something you find at a church is ,free-cs,the Bible.,Filling
being bored would make ,free-cs,you want to watch TV,Mapping
being bored would make ,free-cs,you want to surf the web,Mapping
being bored would make ,free-cs,you want to play a game,Mapping
There are ,free-cs,twenty-four hours in a day,Mapping
There are ,free-cs,black holes in space.,Filling
There are ,free-cs,clarinets in orchestras.,Filling
Something you find under the table is ,free-cs,a floor.,Filling
Something you find under the table is ,free-cs,a dog.,Filling
Something you find under the table is ,free-cs,a cat,Filling
Something you find on the surface of the earth is ,free-cs,water,Filling
Something you find on the surface of the earth is ,free-cs,plants.,Filling
Something you find on the surface of the earth is ,free-cs,dirt,Filling
Something you find in the universe is ,free-cs,galaxy,Filling
Something you find in the universe is ,free-cs,a star.,Filling
Something you find in the universe is ,free-cs,black holes.,Filling
Something you find in the ocean is ,free-cs,a fish,Filling
Something you find in the ocean is ,free-cs,water,Filling
Something you find in the ocean is ,free-cs,salt water.,Filling
Something you find in the cupboard is ,free-cs,cups,Filling
Something you find in the cupboard is ,free-cs,plates.,Filling
Something you find in the cupboard is ,free-cs,saucers,Filling
Something you find in orbit is ,free-cs,not on earth,Filling
Something you find in orbit is ,free-cs,a planet.,Filling
Something you find in orbit is ,free-cs,the Earth,Mapping
Something you find in a restaurant is ,free-cs,foods,Filling
Something you find in a restaurant is ,free-cs,a table,Filling
Something you find in a restaurant is ,free-cs,people,Filling
Something you find in a pocket is ,free-cs,coins,Filling
Something you find in a pocket is ,free-cs,keys,Filling
Something you find in a pocket is ,free-cs,lint,Filling
Something you find in a meadow is ,free-cs,flowers,Filling
Something you find in a meadow is ,free-cs,wild flower.,Filling
Something you find in a meadow is ,free-cs,a horse.,Filling
Something you find in a garage is ,free-cs,car.,Mapping
Something you find in a garage is ,free-cs,a tool.,Filling
Something you find in a garage is ,free-cs,an automobile,Mapping
Something you find in a classroom is ,free-cs,students,Filling
Something you find in a classroom is ,free-cs,desks.,Filling
Something you find in a classroom is ,free-cs,a teacher.,Filling
Something you find in a car is ,free-cs,seats,Filling
Something you find in a car is ,free-cs,a driver,Mapping
Something you find in a car is ,free-cs,a wheel,Mapping
Something you find at the movies is ,free-cs,seats.,Filling
Something you find at the movies is ,free-cs,audience.,Filling
Something you find at the movies is ,free-cs,a sticky floor,Filling
Something you find at the library is ,free-cs,books,Filling
Something you find at the library is ,free-cs,computers,Filling
Something you find at the library is ,free-cs,librarians,Filling
Something you find at the dentist is ,free-cs,toothbrushes,Filling
Something you find at the dentist is ,free-cs,dental drills.,Filling
Something you find at the dentist is ,free-cs,THE DRILL!,Filling
Something you find at the beach is ,free-cs,sand,Filling
Something you find at the beach is ,free-cs,people,Filling
Something you find at the beach is ,free-cs,beach balls,Filling
Something you find at an art show is ,free-cs,sculpture.,Filling
Something you find at an art show is ,free-cs,artist,Filling
Something you find at an art show is ,free-cs,painting,Filling
Something you find at a train station is ,free-cs,trains,Filling
Something you find at a train station is ,free-cs,ticket windows,Filling
Something you find at a train station is ,free-cs,people,Filling
Something you find at a street corner is ,free-cs,traffic lights.,Filling
Something you find at a street corner is ,free-cs,a hooker,Filling
Something you find at a street corner is ,free-cs,a lamp post.,Filling
Something you find at a show is ,free-cs,a performer,Filling
Something you find at a show is ,free-cs,an entertainer.,Filling
Something you find at a show is ,free-cs,seats,Filling
Something you find at a school is ,free-cs,classroom,Filling
Something you find at a school is ,free-cs,blackboards,Filling
Something you find at a school is ,free-cs,a gym.,Filling
Something you find at a rest area is ,free-cs,a bathroom,Filling
Something you find at a rest area is ,free-cs,toilets,Filling
Something you find at a rest area is ,free-cs,a restroom.,Filling
Something you find at a race track is ,free-cs,horse.,Filling
Something you find at a race track is ,free-cs,a horse race.,Filling
Something you find at a race track is ,free-cs,gamblers,Filling
Something you find at a library is ,free-cs,literature,Filling
Something you find at a library is ,free-cs,a chair,Filling
Something you find at a library is ,free-cs,a volume,Filling
Something you find at a desk is ,free-cs,a chair,Filling
Something you find at a desk is ,free-cs,a letter opener.,Filling
Something you find at a desk is ,free-cs,a calculator,Filling
Something you find at a bar is ,free-cs,beer.,Filling
Something you find at a bar is ,free-cs,stools,Filling
Something you find at a bar is ,free-cs,alcoholics.,Filling
Sex is ,free-cs,enjoyable,Filling
Sex is ,free-cs,almost always enjoyable,Filling
Sex is ,free-cs,great fun,Filling
If you want to stop your car then you should ,free-cs,apply the brake,Mapping
If you want to stop your car then you should ,free-cs,press the brakes,Filling
If you want to stop your car then you should ,free-cs,step on the brake.,Mapping
A person wants ,free-cs,to live,Mapping
A person wants ,free-cs,compliments.,Filling
A person wants ,free-cs,to trust himself,Mapping
A cat can ,free-cs,purr.,Filling
A cat can ,free-cs,hunt mice,Filling
A cat can ,free-cs,climb up a tree.,Filling
there are ,free-cs,seven days within a week,Filling
there are ,free-cs,7 continents on earth,Filling
there are ,free-cs,24 hours in one day,Filling
person can ,free-cs,ride horse,Filling
person can ,free-cs,close door,Filling
person can ,free-cs,cross the street,Filling
dogs can ,free-cs,eat bones,Filling
dogs can ,free-cs,corner cats,Filling
dogs can ,free-cs,guide the blind,Filling
children can ,free-cs,learn the alphabet,Filling
children can ,free-cs,trade pokemon cards,Filling
children can ,free-cs,sleep in beds,Filling
a teacher can ,free-cs,school students,Filling
a teacher can ,free-cs,explain concepts,Mapping
a teacher can ,free-cs,mark papers,Filling
a person doesn't want  ,free-cs,to die,Mapping
a person doesn't want  ,free-cs,to be unhappy,Mapping
a person doesn't want  ,free-cs,to be unhappy,Mapping
a house has ,free-cs,a door,Filling
a house has ,free-cs,a yard,Filling
a house has ,free-cs,a living room,Filling
The sun can ,free-cs,shine on your day.,Filling
The sun can ,free-cs,shine bright,Filling
The sun can ,free-cs,burn your skin,Filling
Something you need to do before you talk to someone is ,free-cs,think about what you will say,Mapping
Something you need to do before you talk to someone is ,free-cs,get their attention.,Mapping
Something you need to do before you talk to someone is ,free-cs,opening your mouth,Mapping
Something you might do while playing basketball is ,free-cs,score points.,Filling
Something you might do while playing basketball is ,free-cs,bounce the ball.,Filling
Something you might do while playing basketball is ,free-cs,run,Filling
Something you might do while paying cash is ,free-cs,get change,Filling
Something you might do while paying cash is ,free-cs,get change,Filling
Something you might do while paying cash is ,free-cs,count your money,Filling
Something you might do while having a rest is ,free-cs,snore.,Mapping
Something you might do while having a rest is ,free-cs,relax,Mapping
Something you might do while having a rest is ,free-cs,lie down,Mapping
Something you find under your bed is ,free-cs,the floor.,Filling
Something you find under your bed is ,free-cs,dust!,Filling
Something you find under your bed is ,free-cs,a monster,Filling
Something you find under the carpet is ,free-cs,floor,Filling
Something you find under the carpet is ,free-cs,carpet pad,Filling
Something you find under the carpet is ,free-cs,a pad.,Filling
Something you find under a desk is ,free-cs,drawers,Filling
Something you find under a desk is ,free-cs,feet,Filling
Something you find under a desk is ,free-cs,dust,Filling
Something you find on the floor is ,free-cs,carpet,Filling
Something you find on the floor is ,free-cs,tiles,Filling
Something you find on the floor is ,free-cs,chairs,Filling
Something you find on television is ,free-cs,commercial,Filling
Something you find on television is ,free-cs,programs,Filling
Something you find on television is ,free-cs,news.,Filling
Something you find in the kitchen is ,free-cs,stove,Filling
Something you find in the kitchen is ,free-cs,a blender,Filling
Something you find in the kitchen is ,free-cs,silverware,Filling
Something you find in the garage is ,free-cs,a lawn mower,Mapping
Something you find in the garage is ,free-cs,a toolbox,Filling
Something you find in the garage is ,free-cs,a motorcycle.,Filling
Something you find in a suitcase is ,free-cs,clothing,Filling
Something you find in a suitcase is ,free-cs,a toothbrush.,Filling
Something you find in a suitcase is ,free-cs,panties,Filling
Something you find at the post office is ,free-cs,a stamp.,Filling
Something you find at the post office is ,free-cs,lines,Filling
Something you find at the post office is ,free-cs,packages.,Filling
Something you find at the opera is ,free-cs,opera glasses,Filling
Something you find at the opera is ,free-cs,an orchestra.,Filling
Something you find at the opera is ,free-cs,a baritone,Filling
Something you find at sea is ,free-cs,water,Filling
Something you find at sea is ,free-cs,sailor,Mapping
Something you find at sea is ,free-cs,waves,Filling
Something you find at school is ,free-cs,books.,Filling
Something you find at school is ,free-cs,people,Filling
Something you find at school is ,free-cs,a library.,Filling
Something you find at a resturant is ,free-cs,food,Filling
Something you find at a resturant is ,free-cs,a table.,Filling
Something you find at a resturant is ,free-cs,waiters.,Filling
Something you find at a movie is ,free-cs,popcorn,Filling
Something you find at a movie is ,free-cs,an actor,Filling
Something you find at a movie is ,free-cs,people,Filling
Something you find at a motel is ,free-cs,a bed,Filling
Something you find at a motel is ,free-cs,rooms.,Filling
Something you find at a motel is ,free-cs,Gideon's bible,Filling
Something you find at a hotel is ,free-cs,beds,Filling
Something you find at a hotel is ,free-cs,a swimming pool.,Filling
Something you find at a hotel is ,free-cs,hotel rooms,Filling
Something you find at a hospital is ,free-cs,Doctors,Filling
Something you find at a hospital is ,free-cs,beds,Filling
Something you find at a hospital is ,free-cs,patients.,Filling
Something you find at a hockey game is ,free-cs,hockey players.,Filling
Something you find at a hockey game is ,free-cs,a hockey puck,Mapping
Something you find at a hockey game is ,free-cs,a referee,Mapping
Something you find at a concert is ,free-cs,people,Mapping
Something you find at a concert is ,free-cs,a conductor.,Mapping
Something you find at a concert is ,free-cs,musical instruments.,Filling
Something you find at a bowling alley is ,free-cs,bowling balls,Filling
Something you find at a bowling alley is ,free-cs,bowling lanes,Filling
Something you find at a bowling alley is ,free-cs,beer,Filling
Some people are ,free-cs,bisexuals.,Filling
Some people are ,free-cs,ignorant.,Filling
Some people are ,free-cs,nice,Filling
Dogs can ,free-cs,dig holes,Filling
Dogs can ,free-cs,guide blind people,Filling
Dogs can ,free-cs,wear a sweater.,Filling
A dog can ,free-cs,guard your house,Filling
A dog can ,free-cs,guide a blind person,Mapping
A dog can ,free-cs,guard property.,Filling
water is ,free-cs,liquid.,Filling
water is ,free-cs,a liquid.,Filling
water is ,free-cs,often boiled,Filling
teachers can ,free-cs,teach students,Filling
teachers can ,free-cs,question students,Mapping
teachers can ,free-cs,plan lessons,Filling
sex is ,free-cs,a good thing,Mapping
sex is ,free-cs,a three letter word,Filling
sex is ,free-cs,nice,Filling
riding a bike requires ,free-cs,balance.,Mapping
riding a bike requires ,free-cs,good balance,Mapping
riding a bike requires ,free-cs,pedalling.,Filling
reading a newspaper requires ,free-cs,getting a newspaper.,Mapping
reading a newspaper requires ,free-cs,time.,Filling
reading a newspaper requires ,free-cs,eyes.,Filling
praying requires ,free-cs,believing in god,Filling
praying requires ,free-cs,faith,Filling
praying requires ,free-cs,a belief in a god,Mapping
love would make you want ,free-cs,to propose to a woman,Mapping
love would make you want ,free-cs,to feed your family,Filling
love would make you want ,free-cs,to live a life,Mapping
going to bed is for ,free-cs,rest.,Filling
going to bed is for ,free-cs,sleep,Filling
going to bed is for ,free-cs,getting sleep,Filling
driving a car is for ,free-cs,travel,Mapping
driving a car is for ,free-cs,transporting things,Filling
driving a car is for ,free-cs,having fun,Mapping
cats can ,free-cs,drink water,Filling
cats can ,free-cs,have fleas,Filling
cats can ,free-cs,see in the dark,Filling
a pub is for ,free-cs,having a drink,Filling
a pub is for ,free-cs,meeting with friends,Filling
a pub is for ,free-cs,having a beer,Filling
a lawyer can ,free-cs,rest his case,Mapping
a lawyer can ,free-cs,state a case,Filling
a lawyer can ,free-cs,settle a lawsuit,Filling
a computer is used for ,free-cs,work,Filling
a computer is used for ,free-cs,calculating,Filling
a computer is used for ,free-cs,fun.,Filling
You would strike a match because you want ,free-cs,to light a fire.,Mapping
You would strike a match because you want ,free-cs,start a fire,Filling
You would strike a match because you want ,free-cs,to light a cigarette,Mapping
The effect of buying a beer is ,free-cs,getting drunk,Mapping
The effect of buying a beer is ,free-cs,drinking,Mapping
The effect of buying a beer is ,free-cs,drinking,Mapping
The earth is ,free-cs,the third planet from the sun,Filling
The earth is ,free-cs,spherical,Filling
The earth is ,free-cs,not a perfect sphere.,Filling
The Earth is ,free-cs,a planet.,Filling
The Earth is ,free-cs,a sphere.,Filling
The Earth is ,free-cs,not a ball,Mapping
Sometimes sex causes ,free-cs,children,Filling
Sometimes sex causes ,free-cs,an orgasm,Filling
Sometimes sex causes ,free-cs,pregnancy,Filling
Sometimes going to bed causes ,free-cs,sleep.,Filling
Sometimes going to bed causes ,free-cs,dream,Filling
Sometimes going to bed causes ,free-cs,insomnia,Filling
Sometimes going to a performance causes ,free-cs,boredom,Mapping
Sometimes going to a performance causes ,free-cs,boredom,Mapping
Sometimes going to a performance causes ,free-cs,laughter,Mapping
Something you need to do before you have a physical exam is ,free-cs,go to the doctor,Mapping
Something you need to do before you have a physical exam is ,free-cs,make an appointment.,Mapping
Something you need to do before you have a physical exam is ,free-cs,undress,Mapping
Something you might do while playing sports is ,free-cs,have fun,Filling
Something you might do while playing sports is ,free-cs,running,Filling
Something you might do while playing sports is ,free-cs,sweating,Filling
Something you might do while listening to music is ,free-cs,dance.,Filling
Something you might do while listening to music is ,free-cs,relax,Filling
Something you might do while listening to music is ,free-cs,sing along,Filling
Something you find under water is ,free-cs,jellyfish,Filling
Something you find under water is ,free-cs,submarines,Filling
Something you find under water is ,free-cs,plankton,Filling
Something you find under a bridge is ,free-cs,trolls.,Filling
Something you find under a bridge is ,free-cs,a bum.,Filling
Something you find under a bridge is ,free-cs,a homeless person.,Filling
Something you find on the subway is ,free-cs,people,Filling
Something you find on the subway is ,free-cs,train,Filling
Something you find on the subway is ,free-cs,advertisements,Filling
Something you find on the rug is ,free-cs,a stain,Mapping
Something you find on the rug is ,free-cs,a cat,Filling
Something you find on the rug is ,free-cs,furniture.,Filling
Something you find on the ground is ,free-cs,rocks,Filling
Something you find on the ground is ,free-cs,dirt,Filling
Something you find on the ground is ,free-cs,grass,Filling
Something you find on the desk is ,free-cs,paper clips,Filling
Something you find on the desk is ,free-cs,a calendar,Filling
Something you find on the desk is ,free-cs,typewriter,Filling
Something you find in the purse is ,free-cs,keys,Filling
Something you find in the purse is ,free-cs,a wallet,Mapping
Something you find in the purse is ,free-cs,lipstick.,Filling
Something you find in the office is ,free-cs,paper,Filling
Something you find in the office is ,free-cs,a boss,Mapping
Something you find in the office is ,free-cs,a lamp,Filling
Something you find in the mail is ,free-cs,letters,Filling
Something you find in the mail is ,free-cs,an advertisement.,Filling
Something you find in the mail is ,free-cs,packages,Filling
Something you find in the countryside is ,free-cs,fields,Filling
Something you find in the countryside is ,free-cs,farms,Filling
Something you find in the countryside is ,free-cs,grass,Filling
Something you find in the chemistry lab is ,free-cs,bunsen burners.,Filling
Something you find in the chemistry lab is ,free-cs,test tubes,Filling
Something you find in the chemistry lab is ,free-cs,a beaker.,Filling
Something you find in outerspace is ,free-cs,other planets.,Filling
Something you find in outerspace is ,free-cs,a star.,Filling
Something you find in outerspace is ,free-cs,asteroids.,Filling
Something you find in jail is ,free-cs,convicts,Filling
Something you find in jail is ,free-cs,guards.,Filling
Something you find in jail is ,free-cs,person,Filling
Something you find in bed is ,free-cs,blankets.,Filling
Something you find in bed is ,free-cs,people,Filling
Something you find in bed is ,free-cs,person.,Filling
Something you find in a street is ,free-cs,cars,Mapping
Something you find in a street is ,free-cs,an automobile,Mapping
Something you find in a street is ,free-cs,a streetlight,Filling
Something you find in a plane is ,free-cs,the pilot.,Filling
Something you find in a plane is ,free-cs,a flight attendant.,Filling
Something you find in a plane is ,free-cs,a barf bag,Filling
Something you find in a forest is ,free-cs,mushrooms,Filling
Something you find in a forest is ,free-cs,birds,Filling
Something you find in a forest is ,free-cs,a branch,Filling
Something you find in a field is ,free-cs,grass,Filling
Something you find in a field is ,free-cs,potato,Filling
Something you find in a field is ,free-cs,corn,Filling
Something you find in a closet is ,free-cs,a coat,Mapping
Something you find in a closet is ,free-cs,a shoe,Filling
Something you find in a closet is ,free-cs,a hanger.,Filling
Something you find in a boat is ,free-cs,rope.,Filling
Something you find in a boat is ,free-cs,lifejackets.,Mapping
Something you find in a boat is ,free-cs,a rudder,Mapping
Something you find in a bedroom is ,free-cs,a pillow,Filling
Something you find in a bedroom is ,free-cs,a closet,Filling
Something you find in a bedroom is ,free-cs,sex,Filling
Something you find at the repair shop is ,free-cs,my car.,Filling
Something you find at the repair shop is ,free-cs,a tool,Filling
Something you find at the repair shop is ,free-cs,mechanics,Filling
Something you find at the park is ,free-cs,a fountain,Filling
Something you find at the park is ,free-cs,squirrels,Filling
Something you find at the park is ,free-cs,animal,Filling
Something you find at the office is ,free-cs,computers,Filling
Something you find at the office is ,free-cs,desk,Filling
Something you find at the office is ,free-cs,staplers,Filling
Something you find at the front door is ,free-cs,doorbell,Filling
Something you find at the front door is ,free-cs,welcome mat,Filling
Something you find at the front door is ,free-cs,the newspaper,Filling
Something you find at the corner of two streets is ,free-cs,a street sign,Mapping
Something you find at the corner of two streets is ,free-cs,prostitutes,Filling
Something you find at the corner of two streets is ,free-cs,traffic lights,Filling
Something you find at home is ,free-cs,your bedroom,Filling
Something you find at home is ,free-cs,your couch,Filling
Something you find at home is ,free-cs,a computer,Filling
Something you find at dinner is ,free-cs,forks.,Filling
Something you find at dinner is ,free-cs,drinks.,Filling
Something you find at dinner is ,free-cs,your family.,Filling
Something you find at church is ,free-cs,a hymnal,Filling
Something you find at church is ,free-cs,a minister,Filling
Something you find at church is ,free-cs,a pulpit.,Filling
Something you find at a wedding is ,free-cs,cake.,Filling
Something you find at a wedding is ,free-cs,peoples,Mapping
Something you find at a wedding is ,free-cs,bride and groom,Mapping
Something you find at a sporting event is ,free-cs,spectators.,Filling
Something you find at a sporting event is ,free-cs,fans.,Filling
Something you find at a sporting event is ,free-cs,competitors,Filling
Something you find at a roadblock is ,free-cs,police,Filling
Something you find at a roadblock is ,free-cs,barriers,Filling
Something you find at a roadblock is ,free-cs,a police car.,Filling
Something you find at a party is ,free-cs,drinks,Filling
Something you find at a party is ,free-cs,balloons.,Filling
Something you find at a party is ,free-cs,dancing,Filling
Something you find at a military base is ,free-cs,a soldiere,Filling
Something you find at a military base is ,free-cs,a tank,Filling
Something you find at a military base is ,free-cs,barracks,Filling
Something you find at a mall is ,free-cs,people,Filling
Something you find at a mall is ,free-cs,a shopper.,Mapping
Something you find at a mall is ,free-cs,parking lots,Filling
Something you find at a funeral is ,free-cs,casket,Filling
Something you find at a funeral is ,free-cs,a mourner,Mapping
Something you find at a funeral is ,free-cs,preaching,Mapping
Something you find at a fraternity house is ,free-cs,beer kegs,Filling
Something you find at a fraternity house is ,free-cs,students.,Filling
Something you find at a fraternity house is ,free-cs,alcohol.,Filling
Something you find at a demonstration is ,free-cs,protestors.,Mapping
Something you find at a demonstration is ,free-cs,a demonstrator.,Mapping
Something you find at a demonstration is ,free-cs,police,Mapping
Something you find at a bus stop is ,free-cs,a passenger.,Filling
Something you find at a bus stop is ,free-cs,bench,Filling
Something you find at a bus stop is ,free-cs,people,Filling
Something you find at ,free-cs,beach is shells,Filling
Something you find at ,free-cs,a war is tanks,Filling
Something you find at ,free-cs,an opera is singers.,Filling
Something that might happen when you wait tables is ,free-cs,you take an order,Mapping
Something that might happen when you wait tables is ,free-cs,you take an order,Mapping
